localAuth_wardNumber	ZAPU	ZANU_PF	ZDP	MDC	MDC_T	rejected_votes	unaccounted_ballot	total_votes	total_valid_votes
5**Kariba Municipality	2	244	1	4	468	13	0	732	719
5**Karoi Town Council	1	319	1	11	373	15	0	720	705
5**Kusile RDC	12	409	12	59	446	48	0	986	938
5**Kwekwe Municipality	2	877	1	43	1363	31	0	2317	2286
5**Makonde RDC	13	2610	5	11	113	37	0	2789	2752
5**Makoni RDC	20	1509	9	127	1292	111	0	3068	2957
5**Mangwe RDC	27	418	9	72	296	21	0	843	822
5**Manyame RDC	2	509	4	14	323	25	0	877	852
5**Marondera Municipality	3	445	1	6	702	4	0	1161	1157
5**Marondera RDC	8	1589	4	17	195	29	0	1842	1813
5**Masvingo Municipality	4	799	2	19	1212	27	0	2063	2036
5**Masvingo RDC	4	770	3	24	1070	40	0	1911	1871
5**Matobo RDC	20	373	16	83	438	23	0	953	930
5**Mazowe RDC	20	1420	2	28	224	19	0	1713	1694
5**Mberengwa RDC	26	1491	5	40	353	51	0	1966	1915
5**Mbire RDC	16	1559	7	14	116	56	0	1768	1712
5**Mhondoro-Ngezi RDC	5	1237	7	25	496	77	0	1847	1770
5**Mudzi RDC	6	2701	2	11	71	31	0	2822	2791
5**Murewa RDC	7	903	3	18	292	25	0	1248	1223
5**Mutare Municipality	3	760	0	37	2027	26	0	2853	2827
5**Mutare RDC	19	872	5	61	799	73	0	1829	1756
5**Mutasa RDC	15	1106	3	62	776	38	0	2000	1962
5**Mutoko RDC	5	1409	1	12	172	80	0	1679	1599
5**Muzarabani RDC	10	1144	1	7	118	21	0	1301	1280
5**Mwenezi RDC	37	1751	10	61	661	91	0	2611	2520
5**Nkayi RDC	26	467	16	137	712	42	0	1400	1358
5**Norton Town Council	1	418	1	8	612	15	0	1055	1040
5**Nyaminyami RDC	7	785	1	11	183	14	0	1001	987
5**Nyanga RDC	8	888	2	41	774	52	0	1765	1713
5**Pfura RDC	5	1199	0	1	23	18	0	1246	1228
5**Plumtree Town Council	3	641	0	7	105	6	0	762	756
5**Redcliff Municipality	9	859	1	37	1093	17	0	2016	1999
5**Runde RDC	4	546	0	16	217	17	0	800	783
5**Rusape Town Council	2	244	0	7	320	6	0	579	573
5**Rushinga RDC	4	902	1	0	13	8	0	928	920
5**Ruwa Local Board	1	237	1	10	504	3	0	756	753
5**Sanyati RDC	23	4797	8	16	137	194	0	5175	4981
5**Shurugwi Town Council	3	453	0	4	305	10	0	775	765
5**Takawira RDC	7	521	4	25	423	20	0	1000	980
5**Tongogara RDC	7	642	1	22	328	24	0	1024	1000
5**Tsholotsho RDC	8	390	12	73	681	31	0	1195	1164
5**Umguza RDC	8	1424	0	49	539	25	1	2045	2020
5**Umzingwane RDC	24	316	10	142	519	17	0	1028	1011
5**Victoria Falls Municipality	5	180	2	20	400	4	0	611	607
5**Vungu RDC	8	220	5	69	191	7	0	500	493
5**Wedza RDC	16	1511	7	86	610	28	0	2258	2230
5**Zaka RDC	19	911	6	68	482	36	0	1522	1486
5**Zibagwe RDC	3	1022	1	6	49	26	0	1107	1081
5**Zvataida RDC	13	2105	2	5	32	16	0	2173	2157
5**Zvimba RDC	7	1064	5	19	133	12	0	1240	1228
5**Zvishavane Town Council	1	325	2	19	458	11	0	816	805
6**Beitbridge RDC	25	1345	12	42	227	34	0	1685	1651
6**Beitbridge Town Council	6	581	2	26	511	13	0	1139	1126
6**Bikita RDC	21	677	5	71	498	36	0	1308	1272
6**Bindura Municipality	1	512	2	15	563	22	0	1115	1093
6**Bindura RDC	5	1012	3	33	1477	29	0	2559	2530
6**Binga RDC	9	184	9	136	1625	110	0	2073	1963
6**Bubi RDC	3	14	0	2	21	3	0	43	40
6**Buhera RDC	10	1103	3	75	1364	55	0	2610	2555
6**Bulawayo City Council	46	776	4	254	2335	40	0	3455	3415
6**Bulilima RDC	8	524	6	35	274	24	0	871	847
6**Chaminuka RDC	13	1506	1	11	86	43	0	1660	1617
6**Chegutu Municipality	1	508	2	14	769	28	0	1322	1294
6**Chegutu RDC	6	602	1	15	243	15	0	882	867
6**Chikomba RDC	9	477	1	40	365	13	0	905	892
6**Chimanimani RDC	3	610	2	25	323	8	0	971	963
6**Chinhoyi Municipality	3	409	0	5	469	8	0	894	886
6**Chipinge RDC	49	2803	12	85	474	72	0	3495	3423
6**Chipinge Town Council	2	523	0	17	450	23	0	1015	992
6**Chiredzi RDC	26	1666	20	31	634	83	0	2460	2377
6**Chitungwiza Municipality	10	1785	2	43	2255	41	0	4136	4095
6**Chivi RDC	1	389	1	2	163	10	0	566	556
6**Epworth Local Board	3	2093	6	66	1594	122	0	3884	3762
6**Gokwe North RDC	12	1261	5	25	245	34	0	1582	1548
6**Gokwe South RDC	15	1143	15	26	211	47	0	1457	1410
6**Gokwe Town Council	0	152	0	1	152	19	0	324	305
6**Goromonzi RDC	6	2054	1	39	991	32	0	3123	3091
6**Guruve RDC	17	1980	7	54	813	45	0	2916	2871
6**Gutu RDC	13	788	3	77	512	50	0	1443	1393
6**Gwanda Municipality	10	200	2	45	409	2	0	668	666
6**Gwanda R.D.C	16	338	13	226	675	21	0	1289	1268
6**Gweru Municipality	8	1058	2	36	1282	29	0	2415	2386
6**Harare Municipality	9	1334	3	57	2706	31	0	4140	4109
6**Hurungwe RDC	18	2030	6	17	254	39	0	2364	2325
6**Hwange Local Board	1	298	2	18	612	16	0	947	931
6**Hwange RDC	3	343	6	61	404	34	0	851	817
6**Insiza RDC	23	515	7	88	245	8	0	886	878
6**Kadoma City Council	2	946	0	42	1239	55	0	2284	2229
6**Kariba Municipality	2	255	1	18	304	4	0	584	580
6**Karoi Town Council	0	204	0	7	263	7	0	481	474
6**Kusile RDC	11	400	0	42	348	17	0	818	801
6**Kwekwe Municipality	12	1041	3	57	759	71	0	1943	1872
6**Makonde RDC	3	1417	3	4	92	34	0	1553	1519
6**Makoni RDC	10	2112	4	12	243	38	0	2419	2381
6**Mangwe RDC	64	609	21	98	236	32	0	1060	1028
6**Manyame RDC	9	544	1	15	373	14	0	956	942
6**Marondera Municipality	0	534	2	11	639	7	0	1193	1186
6**Marondera RDC	14	1763	0	13	271	24	0	2085	2061
6**Masvingo Municipality	4	1040	2	26	1214	29	0	2315	2286
6**Masvingo RDC	23	1969	3	23	559	45	0	2622	2577
6**Matobo RDC	58	413	17	104	552	33	0	1177	1144
6**Mazowe RDC	15	996	6	45	304	28	0	1394	1366
6**Mberengwa RDC	25	1774	13	77	266	52	0	2207	2155
6**Mbire RDC	12	1031	4	26	150	16	0	1239	1223
6**Mhondoro-Ngezi RDC	10	1023	5	24	403	112	0	1577	1465
6**Mudzi RDC	16	2343	0	10	100	33	0	2502	2469
6**Murewa RDC	0	262	0	4	53	4	0	323	319
6**Mutare Municipality	2	601	1	17	1055	8	0	1684	1676
6**Mutare RDC	4	1048	7	58	867	33	0	2017	1984
6**Mutasa RDC	14	929	7	66	651	29	0	1696	1667
6**Mutoko RDC	9	954	1	13	123	9	1	1109	1100
6**Muzarabani RDC	2	719	1	8	50	15	0	795	780
6**Mwenezi RDC	21	1077	0	7	76	32	0	1213	1181
6**Nkayi RDC	28	347	8	63	508	31	0	985	954
6**Norton Town Council	3	304	0	18	511	16	0	852	836
6**Nyaminyami RDC	11	417	12	42	327	58	0	867	809
6**Nyanga RDC	10	752	3	49	514	43	0	1371	1328
6**Pfura RDC	5	1459	0	4	12	22	0	1502	1480
6**Plumtree Town Council	12	179	1	39	259	10	0	500	490
6**Redcliff Municipality	7	1072	1	55	1222	32	0	2389	2357
6**Runde RDC	6	788	4	32	433	14	0	1277	1263
6**Rusape Town Council	2	503	1	22	696	21	0	1245	1224
6**Rushinga RDC	0	888	0	4	12	25	0	929	904
6**Ruwa Local Board	0	238	0	7	523	4	0	772	768
6**Sanyati RDC	1	1108	3	10	197	23	0	1342	1319
6**Shurugwi Town Council	1	192	0	3	239	11	0	446	435
6**Takawira RDC	1	609	5	32	468	19	0	1134	1115
6**Tongogara RDC	1	356	2	0	36	4	0	399	395
6**Tsholotsho RDC	26	568	21	172	835	44	0	1666	1622
6**Umguza RDC	11	410	5	59	439	24	0	948	924
6**Umzingwane RDC	32	260	2	70	547	16	0	927	911
6**Victoria Falls Municipality	7	146	0	16	271	5	0	445	440
6**Vungu RDC	15	434	5	118	651	11	0	1234	1223
6**Wedza RDC	35	1286	12	114	618	62	0	2127	2065
6**Zaka RDC	13	741	6	57	363	36	0	1216	1180
6**Zibagwe RDC	19	1581	6	32	437	52	0	2127	2075
6**Zvataida RDC	8	2609	3	12	269	27	0	2928	2901
6**Zvimba RDC	10	1758	1	9	176	31	0	1985	1954
6**Zvishavane Town Council	2	398	0	8	523	6	0	937	931
7**Beitbridge RDC	15	499	5	22	103	19	0	663	644
7**Bikita RDC	28	1035	6	37	306	43	0	1455	1412
7**Bindura Municipality	2	316	1	3	338	9	0	669	660
7**Bindura RDC	7	1573	1	6	77	24	1	1688	1664
7**Binga RDC	15	565	18	86	878	111	0	1673	1562
7**Bubi RDC	10	267	4	89	476	39	0	885	846
7**Buhera RDC	10	851	7	56	825	50	0	1799	1749
7**Bulawayo City Council	50	1795	6	304	3710	66	0	5931	5865
7**Bulilima RDC	40	750	19	80	447	37	0	1373	1336
7**Chaminuka RDC	4	819	4	24	179	39	0	1069	1030
7**Chegutu Municipality	1	576	1	25	791	30	0	1424	1394
7**Chegutu RDC	5	985	2	23	324	27	0	1366	1339
7**Chikomba RDC	12	3402	3	10	132	35	0	3594	3559
7**Chimanimani RDC	15	1727	6	28	234	43	0	2053	2010
7**Chinhoyi Municipality	2	824	0	18	711	17	0	1572	1555
7**Chipinge RDC	13	1360	0	32	261	63	0	1729	1666
7**Chipinge Town Council	2	862	1	7	496	16	0	1384	1368
7**Chiredzi RDC	23	1595	7	36	669	72	0	2402	2330
7**Chitungwiza Municipality	8	687	2	32	1278	24	0	2031	2007
7**Chivi RDC	7	647	0	34	309	27	0	1024	997
7**Epworth Local Board	5	2973	5	81	1582	257	0	4903	4646
7**Gokwe North RDC	20	1699	11	35	401	39	0	2205	2166
7**Gokwe South RDC	6	657	8	28	409	33	0	1141	1108
7**Goromonzi RDC	5	984	1	9	254	11	0	1264	1253
7**Guruve RDC	11	1416	3	57	488	42	0	2017	1975
7**Gutu RDC	16	2086	0	8	96	40	0	2246	2206
7**Gwanda Municipality	10	409	1	108	629	6	0	1163	1157
7**Gwanda R.D.C	6	214	5	106	380	11	0	722	711
7**Gweru Municipality	6	632	1	21	1144	24	0	1828	1804
7**Harare Municipality	23	7780	6	95	3915	137	2	11956	11819
7**Hurungwe RDC	9	1794	11	41	668	58	0	2581	2523
7**Hwange Local Board	5	967	0	5	149	12	0	1138	1126
7**Hwange RDC	14	510	12	71	510	59	0	1176	1117
7**Insiza RDC	19	447	10	156	262	17	0	911	894
7**Kadoma City Council	5	500	0	27	479	30	0	1041	1011
7**Kariba Municipality	0	274	1	5	239	4	0	523	519
7**Karoi Town Council	2	437	2	12	330	16	0	799	783
7**Kusile RDC	5	270	3	79	116	20	0	493	473
7**Kwekwe Municipality	3	555	0	21	683	10	0	1272	1262
7**Makonde RDC	3	525	2	9	371	19	0	929	910
7**Makoni RDC	32	2019	6	58	659	62	0	2836	2774
7**Mangwe RDC	21	168	4	98	345	36	0	672	636
7**Manyame RDC	7	699	5	45	661	22	0	1439	1417
7**Marondera Municipality	2	585	0	26	766	10	0	1389	1379
7**Marondera RDC	10	1791	1	4	99	42	0	1947	1905
7**Masvingo Municipality	5	1362	1	44	2060	63	0	3535	3472
7**Masvingo RDC	4	671	2	15	209	22	0	923	901
7**Matobo RDC	50	305	8	69	448	9	0	889	880
7**Mazowe RDC	13	1269	4	30	542	29	0	1887	1858
7**Mberengwa RDC	15	1034	4	24	250	43	0	1370	1327
7**Mbire RDC	10	935	2	17	125	56	0	1145	1089
7**Mhondoro-Ngezi RDC	5	615	4	17	272	14	0	927	913
7**Mudzi RDC	21	3403	6	41	328	62	0	3861	3799
7**Murewa RDC	1	205	0	3	86	4	0	299	295
7**Mutare Municipality	3	1135	1	20	1007	19	0	2185	2166
7**Mutare RDC	30	1156	15	58	278	51	0	1588	1537
7**Mutasa RDC	24	945	11	117	923	34	0	2054	2020
7**Mutoko RDC	15	1565	3	24	274	30	0	1911	1881
7**Muzarabani RDC	1	438	1	9	42	11	0	502	491
7**Mwenezi RDC	34	1499	7	47	228	80	0	1895	1815
7**Nkayi RDC	30	508	7	57	359	39	0	1000	961
7**Norton Town Council	3	759	3	27	803	18	0	1613	1595
7**Nyaminyami RDC	2	576	1	4	89	10	0	682	672
7**Nyanga RDC	4	670	6	53	586	48	0	1367	1319
7**Pfura RDC	24	1528	5	29	184	43	0	1813	1770
7**Redcliff Municipality	0	183	0	8	394	12	0	597	585
7**Runde RDC	8	711	1	37	424	23	0	1204	1181
7**Rusape Town Council	1	118	1	0	156	2	0	278	276
7**Rushinga RDC	10	1731	1	11	55	30	0	1838	1808
7**Ruwa Local Board	3	412	1	6	984	13	0	1419	1406
7**Sanyati RDC	1	464	2	4	33	28	0	532	504
7**Shurugwi Town Council	1	191	0	3	284	7	0	486	479
7**Takawira RDC	3	595	2	20	290	16	0	926	910
7**Tongogara RDC	2	637	2	14	296	31	0	982	951
7**Tsholotsho RDC	14	620	6	88	422	49	0	1199	1150
7**Umguza RDC	16	929	1	66	1080	61	0	2153	2092
7**Umzingwane RDC	7	257	2	57	446	36	0	805	769
7**Victoria Falls Municipality	8	201	0	18	336	4	0	567	563
7**Vungu RDC	3	416	7	41	728	27	0	1222	1195
7**Wedza RDC	13	1292	5	51	599	30	0	1990	1960
7**Zaka RDC	5	583	8	26	189	33	0	844	811
7**Zibagwe RDC	8	868	8	43	708	29	0	1664	1635
7**Zvataida RDC	4	1625	2	1	14	8	244	1654	1646
7**Zvimba RDC	8	1452	1	12	122	18	0	1613	1595
7**Zvishavane Town Council	2	428	1	31	976	21	0	1459	1438
8**Beitbridge RDC	11	569	12	46	190	20	0	848	828
8**Bikita RDC	23	1072	8	96	516	66	0	1781	1715
8**Bindura Municipality	4	606	1	15	666	14	0	1306	1292
8**Bindura RDC	3	1782	3	3	56	17	0	1864	1847
8**Binga RDC	11	170	15	75	991	54	0	1316	1262
8**Bubi RDC	3	198	1	13	122	15	0	352	337
8**Buhera RDC	7	998	4	44	527	25	0	1605	1580
8**Bulawayo City Council	87	1482	10	413	4702	68	0	6762	6694
8**Bulilima RDC	21	241	8	38	248	18	0	574	556
8**Chaminuka RDC	4	1088	4	9	112	18	0	1235	1217
8**Chegutu Municipality	2	360	2	23	680	12	0	1079	1067
8**Chegutu RDC	20	1431	14	95	706	47	0	2313	2266
8**Chikomba RDC	16	3091	2	25	285	60	0	3479	3419
8**Chimanimani RDC	15	1473	3	102	1114	76	0	2783	2707
8**Chinhoyi Municipality	2	1021	1	14	1192	12	0	2242	2230
8**Chipinge RDC	20	1691	8	49	376	51	0	2195	2144
8**Chipinge Town Council	9	609	3	11	497	11	0	1140	1129
8**Chiredzi RDC	41	1766	25	99	948	93	0	2972	2879
8**Chitungwiza Municipality	4	724	3	44	1606	23	0	2404	2381
8**Chivi RDC	9	817	2	31	465	44	0	1368	1324
8**Gokwe North RDC	11	1262	7	24	175	44	0	1523	1479
8**Gokwe South RDC	20	1351	11	52	433	41	0	1908	1867
8**Goromonzi RDC	8	779	2	20	262	13	0	1084	1071
8**Guruve RDC	16	1559	3	31	320	49	0	1978	1929
8**Gutu RDC	34	1850	10	76	769	75	0	2814	2739
8**Gwanda Municipality	9	280	2	51	326	3	0	671	668
8**Gwanda R.D.C	17	373	21	199	771	15	0	1396	1381
8**Gweru Municipality	4	851	4	40	1498	21	0	2418	2397
8**Harare Municipality	5	1457	7	60	1912	80	0	3521	3441
8**Hurungwe RDC	16	1582	20	78	637	91	0	2424	2333
8**Hwange Local Board	2	142	1	22	617	1	0	785	784
8**Hwange RDC	9	209	3	23	334	16	0	594	578
8**Insiza RDC	3	93	0	33	81	5	0	215	210
8**Kadoma City Council	4	1028	4	18	987	48	0	2089	2041
8**Kariba Municipality	3	448	3	6	242	10	0	712	702
8**Karoi Town Council	0	263	1	11	257	5	0	537	532
8**Kusile RDC	35	495	7	84	296	49	0	966	917
8**Kwekwe Municipality	5	820	4	39	704	28	0	1600	1572
8**Makonde RDC	52	4794	25	33	238	76	0	5218	5142
8**Makoni RDC	11	1870	7	50	652	49	0	2639	2590
8**Mangwe RDC	12	93	7	144	240	13	0	509	496
8**Manyame RDC	12	1130	2	54	1301	41	0	2540	2499
8**Marondera Municipality	0	1038	2	30	1218	16	0	2304	2288
8**Marondera RDC	8	1760	2	7	63	16	0	1856	1840
8**Masvingo Municipality	0	384	0	7	433	11	0	835	824
8**Masvingo RDC	17	2405	5	16	145	36	0	2624	2588
8**Matobo RDC	24	354	11	108	616	24	0	1137	1113
8**Mazowe RDC	23	1550	5	77	813	62	0	2530	2468
8**Mberengwa RDC	19	1105	6	31	217	30	0	1408	1378
8**Mbire RDC	23	1846	5	32	204	64	0	2174	2110
8**Mhondoro-Ngezi RDC	5	740	5	21	273	19	0	1063	1044
8**Mudzi RDC	27	2321	6	59	264	71	1	2748	2677
8**Murewa RDC	12	1753	11	91	654	53	0	2574	2521
8**Mutare Municipality	5	629	4	15	1275	21	0	1949	1928
8**Mutare RDC	6	445	1	17	281	10	0	760	750
8**Mutasa RDC	17	574	7	46	814	36	0	1494	1458
8**Mutoko RDC	7	1433	5	19	264	52	0	1780	1728
8**Muzarabani RDC	7	2037	1	7	139	23	0	2214	2191
8**Mwenezi RDC	15	1718	3	10	80	24	0	1850	1826
8**Nkayi RDC	19	406	3	60	376	17	0	881	864
8**Norton Town Council	1	537	1	18	747	16	0	1320	1304
8**Nyaminyami RDC	18	1443	9	21	251	63	0	1805	1742
8**Nyanga RDC	5	437	5	33	495	19	0	994	975
8**Pfura RDC	25	2638	7	18	166	51	0	2905	2854
8**Redcliff Municipality	1	150	0	8	463	0	0	622	622
8**Runde RDC	3	618	1	21	194	10	0	847	837
8**Rusape Town Council	4	489	0	16	709	18	0	1236	1218
8**Rushinga RDC	6	1504	2	9	56	10	0	1587	1577
8**Ruwa Local Board	0	521	2	14	1319	15	0	1871	1856
8**Sanyati RDC	5	966	3	18	131	18	0	1141	1123
8**Shurugwi Town Council	0	471	0	1	161	9	0	642	633
8**Takawira RDC	2	769	4	23	493	30	0	1321	1291
8**Tongogara RDC	10	982	4	38	280	32	0	1346	1314
8**Tsholotsho RDC	44	513	26	146	635	44	0	1408	1364
8**Umguza RDC	28	968	4	53	238	60	0	1351	1291
8**Umzingwane RDC	9	416	2	55	304	8	0	794	786
8**Victoria Falls Municipality	7	262	3	21	352	9	0	654	645
8**Vungu RDC	27	450	15	127	967	32	0	1618	1586
8**Wedza RDC	17	1527	11	61	493	33	0	2142	2109
8**Zaka RDC	20	1481	10	69	692	66	0	2338	2272
8**Zibagwe RDC	8	1095	7	40	633	31	0	1814	1783
8**Zvataida RDC	19	3363	8	11	123	49	0	3573	3524
8**Zvimba RDC	15	971	11	27	259	20	0	1303	1283
8**Zvishavane Town Council	6	718	4	68	1893	45	1	2734	2689
9**Beitbridge RDC	19	502	14	41	543	22	0	1141	1119
9**Bikita RDC	16	1432	15	66	695	85	0	2309	2224
9**Bindura Municipality	2	530	0	10	571	19	0	1132	1113
9**Bindura RDC	10	1009	6	27	369	34	0	1455	1421
9**Binga RDC	4	685	6	80	1481	132	0	2388	2256
9**Bubi RDC	1	116	1	7	163	10	0	298	288
9**Buhera RDC	3	1050	4	39	899	25	0	2020	1995
9**Bulawayo City Council	78	1304	7	338	4021	38	0	5786	5748
9**Bulilima RDC	20	185	13	132	372	37	0	759	722
9**Chaminuka RDC	11	1533	7	21	249	28	0	1849	1821
9**Chegutu Municipality	2	389	0	28	656	9	0	1084	1075
9**Chegutu RDC	7	1066	8	43	552	33	0	1709	1676
9**Chikomba RDC	3	819	0	10	666	22	0	1520	1498
9**Chimanimani RDC	5	355	2	11	146	4	0	523	519
9**Chinhoyi Municipality	3	232	0	4	256	5	0	500	495
9**Chipinge RDC	15	1344	8	42	275	49	0	1733	1684
9**Chiredzi RDC	7	1095	6	11	124	26	0	1269	1243
9**Chitungwiza Municipality	4	844	0	32	1340	26	0	2246	2220
9**Chivi RDC	5	772	4	20	353	20	0	1174	1154
9**Gokwe North RDC	12	1281	7	43	361	59	0	1763	1704
9**Gokwe South RDC	55	2485	11	108	1007	141	0	3807	3666
9**Goromonzi RDC	5	1054	4	18	248	33	0	1362	1329
9**Guruve RDC	28	1180	2	16	154	36	0	1416	1380
9**Gutu RDC	7	872	4	54	554	22	0	1513	1491
9**Gwanda Municipality	2	199	0	58	306	4	0	569	565
9**Gwanda R.D.C	8	758	2	125	232	15	0	1140	1125
9**Gweru Municipality	5	881	3	27	1524	23	0	2463	2440
9**Harare Municipality	29	5563	5	141	6423	176	1	12337	12161
9**Hurungwe RDC	43	3898	15	96	764	193	0	5009	4816
9**Hwange Local Board	6	203	4	48	1836	22	0	2119	2097
9**Hwange RDC	2	260	5	13	314	15	0	609	594
9**Insiza RDC	25	537	6	93	277	20	0	958	938
9**Kadoma City Council	2	250	1	5	362	19	0	639	620
9**Kariba Municipality	1	331	0	4	341	10	0	687	677
9**Karoi Town Council	2	522	2	16	559	18	0	1119	1101
9**Kusile RDC	4	450	5	41	459	10	0	969	959
9**Kwekwe Municipality	3	551	1	21	518	9	0	1103	1094
9**Makonde RDC	13	2083	8	15	245	27	0	2391	2364
9**Makoni RDC	31	1812	13	30	571	120	0	2577	2457
9**Mangwe RDC	13	136	12	89	345	11	0	606	595
9**Manyame RDC	21	1837	7	38	337	23	1	2263	2240
9**Marondera Municipality	2	835	1	15	837	12	0	1702	1690
9**Marondera RDC	2	188	1	5	68	4	0	268	264
9**Masvingo Municipality	3	715	1	16	917	12	0	1664	1652
9**Masvingo RDC	16	1538	3	33	268	45	0	1903	1858
9**Matobo RDC	7	547	6	57	298	15	0	930	915
9**Mazowe RDC	10	1247	3	41	567	51	0	1919	1868
9**Mberengwa RDC	8	629	3	40	289	22	0	991	969
9**Mbire RDC	14	858	4	37	372	51	0	1336	1285
9**Mhondoro-Ngezi RDC	9	1472	3	12	280	46	0	1822	1776
9**Mudzi RDC	6	2123	1	27	137	24	0	2318	2294
9**Murewa RDC	4	969	3	18	266	22	0	1282	1260
9**Mutare Municipality	3	771	2	18	1569	17	0	2380	2363
9**Mutare RDC	18	966	5	57	518	51	0	1615	1564
9**Mutasa RDC	13	822	6	46	614	50	0	1551	1501
9**Mutoko RDC	3	1129	1	12	97	14	1	1256	1242
9**Muzarabani RDC	9	908	2	3	32	17	0	971	954
9**Mwenezi RDC	36	1932	5	23	175	84	0	2255	2171
9**Nkayi RDC	14	309	5	32	255	34	0	649	615
9**Norton Town Council	1	529	1	11	836	14	0	1392	1378
9**Nyaminyami RDC	8	742	2	19	200	28	0	999	971
9**Nyanga RDC	12	862	5	37	632	39	0	1587	1548
9**Pfura RDC	2	859	1	7	127	9	0	1005	996
9**Redcliff Municipality	0	313	0	12	500	11	0	836	825
9**Runde RDC	5	708	3	20	146	14	0	896	882
9**Rusape Town Council	0	330	0	4	450	9	0	793	784
9**Rushinga RDC	4	1066	1	3	58	37	0	1169	1132
9**Ruwa Local Board	0	479	2	14	1366	19	0	1880	1861
9**Sanyati RDC	5	550	2	11	231	15	0	814	799
9**Shurugwi Town Council	5	276	1	6	138	6	0	432	426
9**Takawira RDC	12	878	17	151	457	33	0	1548	1515
9**Tongogara RDC	7	978	4	37	520	32	0	1578	1546
9**Tsholotsho RDC	53	524	21	103	638	35	0	1374	1339
9**Umguza RDC	24	1549	3	62	288	69	0	1995	1926
9**Umzingwane RDC	8	219	6	51	217	18	0	519	501
9**Victoria Falls Municipality	13	273	1	62	639	6	0	994	988
9**Vungu RDC	3	1298	4	8	346	52	0	1711	1659
9**Wedza RDC	28	1947	2	54	522	41	0	2594	2553
9**Zaka RDC	10	1322	7	37	295	38	0	1709	1671
9**Zibagwe RDC	16	892	6	53	577	17	0	1561	1544
9**Zvataida RDC	15	2774	2	10	137	37	1	2975	2938
9**Zvimba RDC	5	984	3	26	205	14	0	1237	1223
9**Zvishavane Town Council	2	317	0	20	876	6	0	1221	1215
